position_id,seed_price,position_value_at_seed,loan_amount,close_price,position_value_at_close,hold_value,impermanent_loss,impermanent_loss_pct,health_factor,should_liquidate,repay_amount,collateral_to_take
id#0,2948.3035,6951.52,4518.49,2881.7960,6951.52,7356.89,-0.055101,-5.51,1.076923,No,0.00,0.00
id#1,2948.3035,7099.83,4614.89,2881.7960,7099.83,9797.21,-0.275321,-27.53,1.076923,No,0.00,0.00
id#2,2948.3035,7869.56,5115.21,2881.7960,7790.48,7843.41,-0.006749,-0.67,1.066101,No,0.00,0.00
id#3,2948.3035,4026.95,2617.52,2881.7960,4026.95,5914.75,-0.319169,-31.92,1.076923,No,0.00,0.00
id#4,2948.3035,9752.58,6339.18,2881.7960,9703.38,9790.27,-0.008875,-0.89,1.071490,No,0.00,0.00
id#5,2948.3035,5701.42,3705.92,2881.7960,5701.42,6776.96,-0.158706,-15.87,1.076923,No,0.00,0.00
id#6,2948.3035,6213.61,4038.85,2881.7960,6134.91,6168.15,-0.005388,-0.54,1.063283,No,0.00,0.00
id#7,2948.3035,5307.38,3449.79,2881.7960,5307.38,6166.98,-0.139389,-13.94,1.076923,No,0.00,0.00
id#8,2948.3035,5384.14,3499.69,2881.7960,5276.00,6471.84,-0.184777,-18.48,1.055294,No,0.00,0.00
id#9,2948.3035,3917.22,2546.20,2881.7960,3917.22,5457.35,-0.282211,-28.22,1.076923,No,0.00,0.00
id#10,2948.3035,6564.73,4267.07,2881.7960,6537.23,6705.73,-0.025128,-2.51,1.072412,No,0.00,0.00
id#11,2948.3035,5861.94,3810.26,2881.7960,5846.72,6152.33,-0.049674,-4.97,1.074127,No,0.00,0.00
id#12,2948.3035,6433.37,4181.69,2881.7960,6318.82,7228.44,-0.125839,-12.58,1.057747,No,0.00,0.00
id#13,2948.3035,7625.07,4956.30,2881.7960,7625.07,9287.42,-0.178989,-17.90,1.076923,No,0.00,0.00
id#14,2948.3035,6412.66,4168.23,2881.7960,6337.74,6347.01,-0.001459,-0.15,1.064342,No,0.00,0.00
id#15,2948.3035,4101.69,2666.10,2881.7960,4101.69,5514.20,-0.256158,-25.62,1.076923,No,0.00,0.00
id#16,2948.3035,5550.91,3608.09,2881.7960,5542.80,5780.78,-0.041168,-4.12,1.075349,No,0.00,0.00
id#17,2948.3035,8555.27,5560.92,2881.7960,8510.38,8640.91,-0.015105,-1.51,1.071273,No,0.00,0.00
id#18,2948.3035,5846.75,3800.38,2881.7960,5846.75,6545.64,-0.106773,-10.68,1.076923,No,0.00,0.00
id#19,2948.3035,6104.00,3967.60,2881.7960,6104.00,9777.03,-0.375679,-37.57,1.076923,No,0.00,0.00
id#20,2948.3035,6410.80,4167.02,2881.7960,6281.10,6939.70,-0.094904,-9.49,1.055135,No,0.00,0.00
id#21,2948.3035,4538.88,2950.27,2881.7960,4538.88,5715.87,-0.205916,-20.59,1.076923,No,0.00,0.00
id#22,2948.3035,6429.07,4178.89,2881.7960,6316.79,6734.54,-0.062030,-6.20,1.058116,No,0.00,0.00
id#23,2948.3035,3793.51,2465.78,2881.7960,3793.51,5476.13,-0.307264,-30.73,1.076923,No,0.00,0.00
id#24,2948.3035,5953.32,3869.66,2881.7960,5953.32,6765.35,-0.120027,-12.00,1.076923,No,0.00,0.00
id#25,2948.3035,6382.38,4148.54,2881.7960,6255.64,7765.71,-0.194453,-19.45,1.055539,No,0.00,0.00
id#26,2948.3035,6193.57,4025.82,2881.7960,6143.68,6144.32,-0.000105,-0.01,1.068248,No,0.00,0.00
id#27,2948.3035,8674.39,5638.35,2881.7960,8575.85,8710.42,-0.015449,-1.54,1.064689,No,0.00,0.00
id#28,2948.3035,7255.70,4716.20,2881.7960,7255.70,8800.37,-0.175524,-17.55,1.076923,No,0.00,0.00
id#29,2948.3035,4039.33,2625.56,2881.7960,4039.33,6241.31,-0.352808,-35.28,1.076923,No,0.00,0.00
id#30,2948.3035,9124.69,5931.05,2881.7960,9076.57,9140.95,-0.007044,-0.70,1.071244,No,0.00,0.00
id#31,2948.3035,7728.15,5023.30,2881.7960,7728.15,9071.29,-0.148065,-14.81,1.076923,No,0.00,0.00
id#32,2948.3035,5164.99,3357.24,2881.7960,5164.99,7305.66,-0.293015,-29.30,1.076923,No,0.00,0.00
id#33,2948.3035,4173.22,2712.59,2881.7960,4173.22,5449.86,-0.234251,-23.43,1.076923,No,0.00,0.00
id#34,2948.3035,5465.50,3552.58,2881.7960,5342.21,7139.86,-0.251776,-25.18,1.052630,No,0.00,0.00
id#35,2948.3035,5713.95,3714.06,2881.7960,5699.13,5965.92,-0.044718,-4.47,1.074131,No,0.00,0.00
id#36,2948.3035,6048.49,3931.52,2881.7960,6048.49,7807.02,-0.225250,-22.52,1.076923,No,0.00,0.00
id#37,2948.3035,5103.93,3317.55,2881.7960,5000.23,5933.18,-0.157243,-15.72,1.055044,No,0.00,0.00
id#38,2948.3035,6211.94,4037.76,2881.7960,6208.01,6650.02,-0.066468,-6.65,1.076241,No,0.00,0.00
id#39,2948.3035,7667.64,4983.97,2881.7960,7660.64,7868.04,-0.026360,-2.64,1.075940,No,0.00,0.00
id#40,2948.3035,7783.57,5059.32,2881.7960,7757.33,8036.29,-0.034713,-3.47,1.073292,No,0.00,0.00
id#41,2948.3035,3797.94,2468.66,2881.7960,3797.94,4699.60,-0.191858,-19.19,1.076923,No,0.00,0.00
id#42,2948.3035,6483.01,4213.96,2881.7960,6336.77,7558.84,-0.161675,-16.17,1.052630,No,0.00,0.00
id#43,2948.3035,4279.29,2781.54,2881.7960,4279.29,5522.27,-0.225086,-22.51,1.076923,No,0.00,0.00
id#44,2948.3035,7414.42,4819.38,2881.7960,7387.69,7646.31,-0.033823,-3.38,1.073040,No,0.00,0.00
id#45,2948.3035,5402.04,3511.32,2881.7960,5280.18,6795.19,-0.222954,-22.30,1.052630,No,0.00,0.00
id#46,2948.3035,5206.85,3384.45,2881.7960,5189.96,5387.62,-0.036687,-3.67,1.073430,No,0.00,0.00
id#47,2948.3035,7325.38,4761.49,2881.7960,7232.16,7569.66,-0.044586,-4.46,1.063220,No,0.00,0.00
id#48,2948.3035,5954.01,3870.11,2881.7960,5954.01,7693.42,-0.226090,-22.61,1.076923,No,0.00,0.00
id#49,2948.3035,5354.88,3480.67,2881.7960,5234.08,6122.40,-0.145094,-14.51,1.052630,No,0.00,0.00
id#50,2948.3035,6265.88,4072.82,2881.7960,6124.54,7920.51,-0.226749,-22.67,1.052630,No,0.00,0.00
id#51,2948.3035,6364.66,4137.03,2881.7960,6277.96,6705.81,-0.063803,-6.38,1.062254,No,0.00,0.00
id#52,2948.3035,6742.45,4382.59,2881.7960,6742.45,7319.27,-0.078809,-7.88,1.076923,No,0.00,0.00
id#53,2948.3035,7661.68,4980.10,2881.7960,7602.66,7612.87,-0.001342,-0.13,1.068627,No,0.00,0.00
id#54,2948.3035,7664.41,4981.86,2881.7960,7521.67,8261.14,-0.089512,-8.95,1.056867,No,0.00,0.00
id#55,2948.3035,5659.91,3678.94,2881.7960,5659.91,8611.18,-0.342725,-34.27,1.076923,No,0.00,0.00
id#56,2948.3035,5157.71,3352.51,2881.7960,5069.48,5569.98,-0.089856,-8.99,1.058501,No,0.00,0.00
id#57,2948.3035,7154.81,4650.63,2881.7960,7123.66,7291.45,-0.023013,-2.30,1.072234,No,0.00,0.00
id#58,2948.3035,7653.10,4974.51,2881.7960,7583.09,7583.22,-0.000016,-0.00,1.067073,No,0.00,0.00
id#59,2948.3035,6060.60,3939.39,2881.7960,6012.95,6020.94,-0.001328,-0.13,1.068455,No,0.00,0.00
id#60,2948.3035,5346.04,3474.92,2881.7960,5346.04,6942.27,-0.229930,-22.99,1.076923,No,0.00,0.00
id#61,2948.3035,5534.65,3597.53,2881.7960,5426.94,6612.49,-0.179290,-17.93,1.055964,No,0.00,0.00
id#62,2948.3035,6970.16,4530.61,2881.7960,6903.65,6903.65,-0.000000,-0.00,1.066646,No,0.00,0.00
id#63,2948.3035,4456.27,2896.57,2881.7960,4456.27,5774.06,-0.228227,-22.82,1.076923,No,0.00,0.00
id#64,2948.3035,7294.79,4741.61,2881.7960,7276.33,7639.64,-0.047556,-4.76,1.074199,No,0.00,0.00
id#65,2948.3035,3852.77,2504.30,2881.7960,3852.77,6176.49,-0.376219,-37.62,1.076923,No,0.00,0.00
id#66,2948.3035,4298.06,2793.74,2881.7960,4298.06,5607.05,-0.233455,-23.35,1.076923,No,0.00,0.00
id#67,2948.3035,6819.44,4432.64,2881.7960,6819.44,7367.64,-0.074407,-7.44,1.076923,No,0.00,0.00
id#68,2948.3035,7466.97,4853.53,2881.7960,7298.53,9014.80,-0.190384,-19.04,1.052630,No,0.00,0.00
id#69,2948.3035,6684.55,4344.96,2881.7960,6684.55,8290.14,-0.193674,-19.37,1.076923,No,0.00,0.00
id#70,2948.3035,7155.62,4651.15,2881.7960,7112.52,7174.65,-0.008660,-0.87,1.070437,No,0.00,0.00
id#71,2948.3035,5711.25,3712.31,2881.7960,5711.25,7936.16,-0.280352,-28.04,1.076923,No,0.00,0.00
id#72,2948.3035,5188.10,3372.26,2881.7960,5188.10,7104.49,-0.269744,-26.97,1.076923,No,0.00,0.00
id#73,2948.3035,4998.45,3248.99,2881.7960,4885.69,6470.90,-0.244975,-24.50,1.052630,No,0.00,0.00
id#74,2948.3035,5744.86,3734.16,2881.7960,5733.19,6031.29,-0.049426,-4.94,1.074734,No,0.00,0.00
id#75,2948.3035,4796.76,3117.89,2881.7960,4796.76,7307.31,-0.343567,-34.36,1.076923,No,0.00,0.00
id#76,2948.3035,6600.59,4290.38,2881.7960,6600.59,9356.41,-0.294539,-29.45,1.076923,No,0.00,0.00
id#77,2948.3035,4371.52,2841.48,2881.7960,4272.90,5946.74,-0.281471,-28.15,1.052630,No,0.00,0.00
id#78,2948.3035,7962.14,5175.39,2881.7960,7962.14,8163.94,-0.024718,-2.47,1.076923,No,0.00,0.00
id#79,2948.3035,9249.05,6011.88,2881.7960,9150.80,9157.70,-0.000754,-0.08,1.065483,No,0.00,0.00
