date,open_price,close_price,price_change,number_of_liquidations,average_health_factor
2015-08-07 00:00:00+00:00,2.00,2.83,41.50,0,1.523846
2015-08-08 00:00:00+00:00,2.83,1.33,-53.00,500,0.506116
2015-08-10 00:00:00+00:00,1.33,0.69,-48.30,500,0.556750
2015-08-11 00:00:00+00:00,0.69,1.07,55.24,0,1.671770
2015-08-12 00:00:00+00:00,1.07,1.26,17.73,0,1.267849
2015-08-13 00:00:00+00:00,1.26,1.83,45.26,0,1.564372
2015-08-14 00:00:00+00:00,1.83,1.83,0.03,0,1.077265
2015-08-15 00:00:00+00:00,1.83,1.67,-8.54,500,0.984932
2015-08-16 00:00:00+00:00,1.67,1.48,-11.58,500,0.952211
2015-08-17 00:00:00+00:00,1.48,1.20,-18.73,500,0.875187
2015-08-18 00:00:00+00:00,1.20,1.28,6.78,0,1.149968
2015-08-19 00:00:00+00:00,1.28,1.25,-2.24,0,1.052841
2015-08-20 00:00:00+00:00,1.25,1.48,18.48,0,1.275896
2015-08-21 00:00:00+00:00,1.48,1.41,-5.00,0,1.023088
2015-08-22 00:00:00+00:00,1.41,1.38,-2.08,0,1.054561
2015-08-23 00:00:00+00:00,1.38,1.36,-1.85,0,1.057003
2015-08-24 00:00:00+00:00,1.36,1.25,-7.76,500,0.993338
2015-08-25 00:00:00+00:00,1.25,1.16,-7.13,0,1.000098
2015-08-26 00:00:00+00:00,1.16,1.12,-3.55,0,1.038711
2015-08-27 00:00:00+00:00,1.12,1.13,1.26,0,1.090439
2015-08-28 00:00:00+00:00,1.13,1.19,4.87,0,1.129364
2015-08-29 00:00:00+00:00,1.19,1.17,-1.22,0,1.063742
2015-08-30 00:00:00+00:00,1.17,1.32,12.60,0,1.212652
2015-08-31 00:00:00+00:00,1.32,1.35,2.35,0,1.102184
2015-09-01 00:00:00+00:00,1.35,1.35,-0.19,0,1.074869
2015-09-02 00:00:00+00:00,1.35,1.28,-5.33,0,1.019540
2015-09-03 00:00:00+00:00,1.28,1.26,-1.25,0,1.063415
2015-09-04 00:00:00+00:00,1.26,1.27,0.53,0,1.082679
2015-09-05 00:00:00+00:00,1.27,1.33,5.16,0,1.132449
2015-09-06 00:00:00+00:00,1.33,1.30,-2.62,0,1.048708
2015-09-07 00:00:00+00:00,1.30,1.26,-3.37,0,1.040658
2015-09-08 00:00:00+00:00,1.26,1.24,-1.61,0,1.059615
2015-09-09 00:00:00+00:00,1.24,1.21,-2.39,0,1.051218
2015-09-10 00:00:00+00:00,1.21,1.17,-3.26,0,1.041849
2015-09-11 00:00:00+00:00,1.17,0.98,-16.34,500,0.900954
2015-09-12 00:00:00+00:00,0.98,1.04,6.32,0,1.144962
2015-09-13 00:00:00+00:00,1.04,0.94,-9.59,500,0.973659
2015-09-14 00:00:00+00:00,0.94,0.87,-7.31,500,0.998158
2015-09-15 00:00:00+00:00,0.87,0.94,8.26,0,1.165829
2015-09-16 00:00:00+00:00,0.94,0.90,-4.10,0,1.032782
2015-09-17 00:00:00+00:00,0.90,0.88,-2.23,0,1.052908
2015-09-18 00:00:00+00:00,0.88,0.85,-4.19,0,1.031792
2015-09-19 00:00:00+00:00,0.85,0.88,4.26,0,1.122788
