position_id,seed_price,position_value_at_seed,loan_amount,close_price,position_value_at_close,hold_value,impermanent_loss,impermanent_loss_pct,health_factor,should_liquidate,repay_amount,collateral_to_take
id#0,190.4258,553.10,359.51,176.8178,513.57,3823.36,-0.865674,-86.57,0.999965,Yes,179.76,197.73
id#1,190.4258,903.28,587.13,176.8178,838.73,4048.93,-0.792851,-79.29,0.999965,Yes,293.57,322.92
id#2,190.4258,639.59,415.74,176.8178,593.89,5335.51,-0.888692,-88.87,0.999965,Yes,207.87,228.65
id#3,190.4258,587.12,381.63,176.8178,545.17,2343.59,-0.767380,-76.74,0.999965,Yes,190.81,209.90
id#4,190.4258,715.94,465.36,176.8178,664.77,5427.88,-0.877526,-87.75,0.999965,Yes,232.68,255.95
id#5,190.4258,657.42,427.32,176.8178,610.44,3326.92,-0.816515,-81.65,0.999965,Yes,213.66,235.03
id#6,190.4258,423.17,275.06,176.8178,392.93,3697.78,-0.893738,-89.37,0.999965,Yes,137.53,151.28
id#7,190.4258,576.33,374.61,176.8178,535.14,3073.99,-0.825913,-82.59,0.999965,Yes,187.31,206.04
id#8,190.4258,350.28,227.68,176.8178,325.25,4984.86,-0.934753,-93.48,0.999965,Yes,113.84,125.22
id#9,190.4258,626.81,407.42,176.8178,582.01,2362.77,-0.753674,-75.37,0.999965,Yes,203.71,224.08
id#10,190.4258,613.86,399.01,176.8178,569.99,3916.86,-0.854478,-85.45,0.999965,Yes,199.50,219.45
id#11,190.4258,669.20,434.98,176.8178,621.38,3582.88,-0.826569,-82.66,0.999965,Yes,217.49,239.24
id#12,190.4258,426.31,277.10,176.8178,395.85,5395.13,-0.926628,-92.66,0.999965,Yes,138.55,152.41
id#13,190.4258,832.96,541.43,176.8178,773.44,4345.72,-0.822023,-82.20,0.999965,Yes,270.71,297.78
id#14,190.4258,433.64,281.87,176.8178,402.65,3651.79,-0.889739,-88.97,0.999965,Yes,140.93,155.03
id#15,190.4258,656.81,426.93,176.8178,609.88,2493.93,-0.755455,-75.55,0.999965,Yes,213.46,234.81
id#16,190.4258,477.51,310.38,176.8178,443.39,3160.25,-0.859698,-85.97,0.999965,Yes,155.19,170.71
id#17,190.4258,764.78,497.11,176.8178,710.13,5127.57,-0.861508,-86.15,0.999965,Yes,248.55,273.41
id#18,190.4258,628.46,408.50,176.8178,583.55,3424.52,-0.829598,-82.96,0.999965,Yes,204.25,224.67
id#19,190.4258,997.83,648.59,176.8178,926.52,3585.58,-0.741598,-74.16,0.999965,Yes,324.29,356.72
id#20,190.4258,416.00,270.40,176.8178,386.28,4736.07,-0.918439,-91.84,0.999965,Yes,135.20,148.72
